iter	MAE	RMSE
0	123.5869343	175.6195354
1	116.2193764	165.8661034
2	109.2309278	156.6288846
3	102.783167	148.029733
4	96.89927233	140.1972172
5	91.49028307	133.0421406
6	86.48076701	126.3897402
7	81.93880507	120.463914
8	77.62449497	114.7386061
9	73.70846816	109.6067555
10	70.13816178	104.9349139
11	66.7956197	100.6513916
12	63.69999645	96.64211725
13	60.78499964	92.94972407
14	58.23590839	89.7627858
15	55.78002439	86.78929281
16	53.52018975	84.06318648
17	51.46760287	81.57483228
18	49.57849719	79.35498494
19	47.83504049	77.27188062
20	46.27018718	75.41053657
21	44.85299949	73.82103171
22	43.54391846	72.30817606
23	42.21765776	70.85207498
24	40.93088552	69.45542071
25	39.86475778	68.31820083
26	38.83748799	67.35302361
27	37.84293782	66.37875538
28	36.96722482	65.51427234
29	36.19018995	64.68912035
30	35.3791194	63.9257997
31	34.6713547	63.1185207
32	34.00460811	62.40227507
33	33.407275	61.7853697
34	32.78680842	61.27036714
35	32.23100262	60.76853125
36	31.77777364	60.32093795
37	31.31318271	59.82338947
38	30.80123416	59.30621625
39	30.32518899	58.81150054
40	29.92454708	58.48110781
41	29.56897667	58.19017551
42	29.2518176	57.85135374
43	28.89006164	57.5348137
44	28.63610298	57.25944471
45	28.34283252	56.97168063
46	28.09132079	56.64233368
47	27.86848257	56.4202049
48	27.61260446	56.0856616
49	27.35662289	55.84853298
50	27.13193	55.4726763
51	26.8712472	55.18514028
52	26.66027213	54.98313767
53	26.4509426	54.70813426
54	26.23159165	54.42617999
55	26.0621671	54.26458356
56	25.89848295	54.0669179
57	25.74228568	53.96206476
58	25.61174155	53.72566336
59	25.44510335	53.54322619
60	25.32388428	53.33817602
61	25.16585216	53.14404548
62	24.98996111	52.8753711
63	24.86094238	52.59955736
64	24.73969489	52.47553384
65	24.58374802	52.24528953
66	24.42666098	52.00045752
67	24.31138515	51.87112914
68	24.20920615	51.65128606
69	24.08623296	51.35766009
70	23.98157147	51.23021707
71	23.89226435	51.11583698
72	23.79437806	50.94721075
73	23.70069144	50.78977371
74	23.60121041	50.66648108
75	23.49034841	50.50002207
76	23.38502603	50.32431676
77	23.27410639	50.02694598
78	23.2098737	49.93848648
79	23.13554845	49.85025522
80	23.07540595	49.74721856
81	23.02107149	49.67900122
82	22.96525113	49.56713268
83	22.92045712	49.43522181
84	22.83875076	49.24055661
85	22.76390644	49.10901127
86	22.6855195	48.90519408
87	22.62909291	48.73396692
88	22.56577445	48.55692434
89	22.50984717	48.40360489
90	22.46842219	48.33194809
91	22.40914882	48.21316949
92	22.34050486	48.03947306
93	22.30454687	47.98204001
94	22.25585567	47.862768
95	22.17349121	47.59926707
96	22.10425426	47.41771792
97	22.02362973	47.20246389
98	21.94397782	47.06045161
99	21.86908206	46.83994381
100	21.79030715	46.60201747
101	21.72207158	46.39633567
102	21.65192286	46.21148835
103	21.57540021	46.08077833
104	21.51530443	45.91623812
105	21.44065453	45.70020724
106	21.37335488	45.50280624
107	21.32459153	45.38174921
108	21.24408715	45.21959205
109	21.19445385	45.14168348
110	21.14344839	45.03765572
111	21.05662447	44.81065333
112	20.99799575	44.61653954
113	20.96653909	44.50703359
114	20.91306698	44.41542901
115	20.84409903	44.22731904
116	20.78540941	44.14125208
117	20.72531589	44.01491282
118	20.68008025	43.87127505
119	20.61312163	43.67960607
120	20.56745062	43.56745475
121	20.52457833	43.43570164
122	20.48064671	43.35968416
123	20.43927775	43.25840318
124	20.39453398	43.17203413
125	20.34134344	43.00075204
126	20.27791862	42.83793547
127	20.23822926	42.72189233
128	20.17268793	42.54199248
129	20.11518612	42.4312176
130	20.02559494	42.18124743
131	20.00851012	42.11866465
132	19.97312217	42.04648348
133	19.90182384	41.89761813
134	19.86605247	41.79495081
135	19.8168907	41.66844344
136	19.76533699	41.59895385
137	19.72082098	41.467243
138	19.67971919	41.37732152
139	19.63867238	41.26926648
140	19.58483231	41.11147369
141	19.55083388	41.00519383
142	19.52079894	40.91642218
143	19.46434952	40.76553383
144	19.41585681	40.61731635
145	19.37393696	40.50855265
146	19.34986058	40.42578721
147	19.29983078	40.29490616
148	19.25497998	40.1614884
149	19.21529852	40.06959155
150	19.17060575	39.95610267
151	19.14054157	39.87152477
152	19.09116746	39.74020213
153	19.05014686	39.66069932
154	19.00923125	39.59397936
155	18.95917845	39.45598178
156	18.89470421	39.28593622
157	18.83448161	39.11712672
158	18.78996784	38.99605585
159	18.75445468	38.93549479
160	18.69526121	38.77944058
161	18.65952552	38.66555711
162	18.62201539	38.57154557
163	18.59392186	38.49340309
164	18.560512	38.42958959
165	18.49431068	38.23698167
166	18.42539003	38.05259898
167	18.38493735	37.94280605
168	18.33730335	37.79472553
169	18.30048435	37.69597471
170	18.24438172	37.55510177
171	18.21793439	37.47471208
172	18.18418617	37.3870271
173	18.14842868	37.31799232
174	18.10301393	37.22546933
175	18.07149665	37.16293189
176	18.02985331	37.0784476
177	17.98840758	36.95643117
178	17.96351969	36.87677609
179	17.92419277	36.77459819
180	17.87550071	36.63008177
181	17.83823601	36.54362922
182	17.80828455	36.47137132
183	17.75592973	36.3472154
184	17.70463318	36.19830661
185	17.66807976	36.12077935
186	17.61627192	35.98953826
187	17.57051101	35.86651872
188	17.5031429	35.7130143
189	17.448127	35.55837204
190	17.38469612	35.40596507
191	17.34096431	35.30712102
192	17.32238108	35.26100601
193	17.25968851	35.09481465
194	17.21950922	34.9807191
195	17.1859579	34.92453871
196	17.14494906	34.80205477
197	17.11100009	34.7193659
198	17.08259059	34.65352262
