iter	Passed	Remaining
0	27	53983
1	72	71990
2	98	65689
3	125	62804
4	152	60777
5	181	60416
6	207	59211
7	235	58552
8	262	58133
9	290	57778
10	318	57637
11	348	57669
12	378	57884
13	406	57721
14	434	57493
15	461	57231
16	488	56950
17	517	56931
18	544	56798
19	573	56736
20	600	56581
21	628	56520
22	657	56529
23	689	56734
24	717	56648
25	750	56969
26	777	56803
27	807	56840
28	834	56736
29	861	56601
30	887	56344
31	914	56259
32	942	56155
33	969	56058
34	999	56099
35	1031	56297
36	1064	56459
37	1097	56648
38	1128	56764
39	1158	56753
40	1186	56694
41	1223	57033
42	1251	56957
43	1278	56839
44	1308	56833
45	1337	56822
46	1366	56773
47	1392	56612
48	1421	56591
49	1448	56476
50	1474	56339
51	1500	56224
52	1528	56141
53	1554	56034
54	1583	56015
55	1610	55893
56	1635	55735
57	1663	55699
58	1690	55599
59	1716	55499
60	1742	55378
61	1770	55339
62	1796	55238
63	1827	55294
64	1857	55290
65	1882	55168
66	1912	55185
67	1942	55193
68	1973	55225
69	2001	55197
70	2033	55253
71	2061	55214
72	2091	55216
73	2120	55178
74	2150	55184
75	2179	55185
76	2212	55250
77	2238	55154
78	2266	55116
79	2294	55062
80	2322	55012
81	2351	55003
82	2380	54972
83	2406	54880
84	2431	54780
85	2458	54709
86	2483	54611
87	2512	54593
88	2539	54530
89	2566	54473
90	2594	54435
91	2624	54434
92	2651	54379
93	2681	54371
94	2707	54295
95	2735	54255
96	2763	54225
97	2790	54161
98	2821	54173
99	2849	54131
100	2874	54053
101	2901	53991
102	2931	53984
103	2957	53916
104	2983	53845
105	3017	53913
106	3045	53886
107	3072	53831
108	3106	53891
109	3136	53897
110	3168	53929
111	3198	53914
112	3229	53929
113	3258	53906
114	3288	53896
115	3317	53875
116	3348	53893
117	3377	53875
118	3408	53869
119	3441	53912
120	3469	53882
121	3497	53843
122	3528	53841
123	3556	53810
124	3583	53751
125	3611	53712
126	3638	53661
127	3667	53633
128	3696	53611
129	3724	53568
130	3756	53589
131	3784	53560
132	3820	53637
133	3850	53624
134	3880	53614
135	3910	53594
136	3938	53563
137	3968	53539
138	3994	53486
139	4026	53495
140	4055	53463
141	4083	53425
142	4111	53390
143	4139	53347
144	4166	53305
145	4195	53282
146	4224	53257
147	4256	53260
148	4284	53222
149	4312	53181
150	4340	53153
151	4369	53120
152	4396	53077
153	4424	53038
154	4453	53006
155	4482	52990
156	4512	52970
157	4540	52933
158	4570	52917
159	4598	52880
160	4624	52822
161	4654	52805
162	4683	52777
163	4710	52735
164	4740	52715
165	4771	52716
166	4801	52706
167	4831	52683
168	4861	52670
169	4891	52660
170	4919	52613
171	4944	52552
172	4970	52486
173	4997	52447
174	5024	52394
175	5049	52329
176	5077	52295
177	5105	52256
178	5134	52231
179	5162	52200
180	5199	52253
181	5226	52205
182	5251	52141
183	5285	52169
184	5317	52168
185	5345	52136
186	5374	52103
187	5402	52075
188	5430	52036
189	5462	52038
190	5496	52054
191	5526	52040
192	5553	51998
193	5581	51962
194	5609	51924
195	5641	51920
196	5673	51923
197	5700	51876
198	5730	51865
